timestamp,status,total_tokens,provider_name,model,original_filepath,original_filename,width,height,category,genre,filename,clean_filename,filename_already_makes_sense,tags,description,_review_id
2026-08-29T11:20:56.815766,ok,1977,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\3600f87374e3c4bcc1f08a800968f42a.jpg,3600f87374e3c4bcc1f08a800968f42a.jpg,384,512,books,nonfiction,psychoanalysis_and_history.jpg,psychoanalysis_and_history.jpg,False,psychoanalysis;history;bruce mazlish;psychology;freud;historical analysis;essays;revised edition;yellow book cover;stylized faces,"A paperback book titled “Psychoanalysis and History” lies on a dark, textured surface. The bright yellow cover identifies it as a revised edition edited by Bruce Mazlish and includes a short description of its essays. Two stylized faces dominate the design: a large blue partial face on the left and a smaller green eye and nose on the right. Fine black lines extend from the facial profiles across the yellow background. Pricing and publisher information appear in small print near the upper-right corner, and the cover shows light wear along its edges.",01a04e52-fd6f-7566-9a65-252ade71027f
2026-08-29T11:21:02.872204,ok,1999,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\59f6abc5d7117a66ce0c25e89653348b.jpg,59f6abc5d7117a66ce0c25e89653348b.jpg,323,512,books,nonfiction,limitations_of_science.jpg,limitations_of_science.jpg,False,science;limitations of science;j. w. n. sullivan;mentor books;paperback;vintage book cover;molecular model;drafting compass;rose;space;scientific philosophy,"A worn paperback cover displays the title “The Limitations of Science” in large yellow lettering above the author’s name, J. W. N. Sullivan. A smaller line across the top reads “A Creative Scientist’s Approach to the Unknown,” with “MD35” and “50¢” printed in the upper-left corner. The central illustration shows a drafting compass framing a black, starry triangular space above a large orange rose. Red and yellow molecular spheres extend across a pale blue background, surrounded by small gray clouds. A mustard-yellow band along the bottom bears the text “A Mentor Book” in black script.",01a04e53-1518-7462-8de6-34f624f95903
2026-08-29T11:21:08.117309,ok,1949,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\61V+8dAGjJL._SL1000_.jpg,61V+8dAGjJL._SL1000_.jpg,337,512,books,sci-fi,martian_way.jpg,martian_way.jpg,False,isaac asimov;the martian way;science fiction anthology;paperback;fawcett crest;space;planetoid;spacecraft;orbital rings;retro cover art,"A worn paperback cover presents Isaac Asimov's name in large yellow lowercase lettering above the title “The Martian Way” in bold cream text. The smaller line “and other stories” appears beneath the title, while promotional text and the Fawcett Crest mark sit along the top edge. Against a black background, the central illustration shows a rugged purple planetoid crowned with dense, brightly colored, flame-like formations. Thin red orbital lines encircle the rocky form, with a small spacecraft or satellite near the lower left and a glowing celestial body above it. The cover has visible scuffing, creases, and frayed edges.",01a04e53-2995-7638-8ac5-5a389fbfcf6a
2026-08-29T11:21:12.538049,ok,1964,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\622f30ddd534c2ba69bd99b7411fbc7e.jpg,622f30ddd534c2ba69bd99b7411fbc7e.jpg,384,512,books,nonfiction,book_of_symbols.jpg,book_of_symbols.jpg,False,symbols;symbolism;archetypes;archetypal images;psychology;reference book;taschen;hand motif;hardcover,"A hardcover copy of The Book of Symbols lies on rumpled white bedding. Its dark cover features a large, weathered hand-shaped artifact in muted brown tones. The title appears in white serif lettering across the palm, with the subtitle “Reflections on Archetypal Images” printed below. Small text along the top identifies it as an archive for research in archetypal symbolism, while “TASCHEN” is printed near the bottom. A black ribbon bookmark extends from the lower edge of the book.",01a04e53-3ada-76dc-8a85-bf5f86bef1b3
2026-08-29T11:21:18.093616,ok,1974,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\9c34bbd8ccb8a88e89be596afadc8dc4.jpg,9c34bbd8ccb8a88e89be596afadc8dc4.jpg,384,512,books,nonfiction,seven_states_of_consciousness.jpg,seven_states_of_consciousness.jpg,False,consciousness;anthony campbell;maharishi mahesh yogi;meditation;spirituality;philosophy;paperback;worn book;perennial library,"A hand holds a worn paperback copy of Anthony Campbell's “Seven States of Consciousness.” The pale blue cover features large dark-blue title lettering and the subtitle “A Vision of Possibilities Suggested by the Teaching of Maharishi Mahesh Yogi.” A faint image of a seated figure appears near the bottom of the cover. The book has creased, torn, and frayed edges, with a used-price sticker attached at the upper right. Dark shelves and indistinct objects fill the background.",01a04e53-508d-732c-8beb-fa6115efe5b3
2026-08-29T11:21:23.285480,ok,2023,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\b09ce0215ab44b70c474061743c82a85.jpg,b09ce0215ab44b70c474061743c82a85.jpg,388,511,books,nonfiction,news_literacy.jpg,news_literacy.jpg,False,news literacy;media literacy;fake news;misinformation;critical thinking;education;journalism;paperback;book cover;library shelves;michelle luhtala;jacquelyn whiting,"A hand holds a worn paperback book in front of shelves filled with books. The bright red cover displays the title “News Literacy” in large yellow lettering above the subtitle “The Keys to Combating Fake News.” Two black illustrated fists face each other across the lower half, with the words “Fake News” printed diagonally between them in white. The authors’ names, Michelle Luhtala and Jacquelyn Whiting, appear along the bottom. The cover has a distressed texture with scuffed edges, scratches, and several pixelated labels near the top and sides.",01a04e53-64d5-77e4-9aee-413f386c0c97
2026-08-29T11:21:27.795494,ok,1949,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\b4d125e7306cc5c395c810ae97f1ffb3.jpg,b4d125e7306cc5c395c810ae97f1ffb3.jpg,384,512,books,nonfiction,man_and_his_symbols.jpg,man_and_his_symbols.jpg,False,carl g. jung;psychology;symbols;symbolism;analytical psychology;mandala;hardcover;vintage book;worn cover,"A hardcover copy of “Man and His Symbols” lies diagonally on a dark tiled floor. The off-white cover displays the title in large red lettering and credits Carl G. Jung in bold black type. A circular red-and-green symbolic illustration dominates the lower half of the cover. The book shows visible wear, discoloration, and scuffing along its cover and edges. Part of the title and author’s name can also be seen on the spine.",01a04e53-7673-7762-abdc-85fee70328fd
2026-08-29T11:21:32.989737,ok,1944,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\b80f0c2c54189259947132d0befc9e1a.jpg,b80f0c2c54189259947132d0befc9e1a.jpg,384,512,books,nonfiction,maya_myths.jpg,maya_myths.jpg,False,maya mythology;maya civilization;mesoamerica;gods;heroes;ancestors;mallory e. matsumoto;thames & hudson;mythology;hardcover,"A hand holds an orange hardcover book titled “The Maya Myths” over a person’s blue-jean-covered lap. The subtitle reads “A Guide to the Gods, Heroes and Ancestors,” with Mallory E. Matsumoto named below. Metallic silver and pale blue illustrations of Maya figures, deities, animals, and decorative motifs cover the front. The Thames & Hudson logo appears in the lower-left corner. Carpeted flooring and the edges of other books are visible in the background.",01a04e53-8abd-70ef-8299-078e055fc6c8
2026-08-29T11:21:38.278986,ok,1923,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\ba13b22cab729ef2182d5e2386837189.jpg,ba13b22cab729ef2182d5e2386837189.jpg,308,512,books,sci-fi,moons_of_triopus.jpg,moons_of_triopus.jpg,False,john rankine;science fiction novel;vintage paperback;psychedelic artwork;abstract cover art;moons;celestial bodies;space;colorful illustration;paperback library;retro science fiction,"A vintage paperback cover displays the title “Moons of Triopus” in bold black lettering, with “John Rankine” printed beneath it. A cream header identifies it as a Paperback Library science fiction novel priced at 60 cents. The cover art features a dense, psychedelic composition of swirling red, yellow, orange, blue, and green forms. Several circular celestial shapes, an abstract face, and tiny figures appear amid the flowing patterns. The aged cover shows visible creases, scuffs, and wear along its edges and surface.",01a04e53-9f67-76e5-a03c-c9886855ab82
2026-08-29T11:21:42.743009,ok,1950,OpenAI,gpt-5.6-sol,C:\Users\oloon\Dropbox\data\ai\perspective_skewed_images\bdc102288244edad6e193c53f710d387.jpg,bdc102288244edad6e193c53f710d387.jpg,318,512,books,nonfiction,human_brain.jpg,human_brain.jpg,False,human brain;physiology;anatomy;neuroscience;nervous system;science;john pfeiffer;pyramid books;paperback;vintage book cover,"A worn paperback cover displays the title “The Human Brain” in large black lettering, with “John Pfeiffer” printed below in blue. A short line describes it as “The wonderful story of the most complex and mysterious structure in the Universe.” The lower portion features “The Worlds of Science” and “Physiology” over geometric blocks of green, purple, red, and blue. Anatomical illustrations of human nervous systems and a detailed brain extend across the colored panels. The Pyramid Books logo and a 75-cent price appear along the top edge.",01a04e53-b0d7-7341-9930-3e8bc8cc0a9f
